epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1276.71,0.75856,0.80849,1.18304,0.5935,0.59563,0.58487,0.50102,0.93241,1.37712,1.36361,0.008581,0.008581,0.008581
45,1305.56,0.75984,0.80783,1.18366,0.75762,0.51422,0.62912,0.52008,0.8857,1.21448,1.27743,0.008548,0.008548,0.008548
46,1334.48,0.73962,0.78285,1.16974,0.75542,0.56963,0.63598,0.53123,0.87389,1.21772,1.2556,0.008515,0.008515,0.008515
47,1363.39,0.7415,0.78322,1.16825,0.69676,0.57657,0.61985,0.53815,0.81186,1.22715,1.21171,0.008482,0.008482,0.008482
48,1392.29,0.75302,0.805,1.18312,0.73106,0.56129,0.61349,0.52011,0.89109,1.35006,1.28432,0.008449,0.008449,0.008449
49,1421.17,0.73379,0.77331,1.1624,0.59474,0.58972,0.60622,0.5143,0.87275,1.22403,1.26679,0.008416,0.008416,0.008416
50,1450.04,0.73023,0.77255,1.16088,0.67202,0.57641,0.62037,0.53853,0.88389,1.31967,1.27806,0.008383,0.008383,0.008383
51,1478.92,0.72947,0.7582,1.16295,0.5968,0.59979,0.6001,0.51529,0.84746,1.36803,1.25912,0.00835,0.00835,0.00835
52,1507.89,0.72076,0.74832,1.15076,0.72152,0.57433,0.61947,0.52518,0.83195,1.26854,1.21846,0.008317,0.008317,0.008317
53,1536.76,0.72086,0.76171,1.15526,0.69575,0.58708,0.62659,0.54431,0.86438,1.31855,1.25231,0.008284,0.008284,0.008284
54,1565.65,0.72431,0.76674,1.15987,0.52744,0.52148,0.4952,0.43036,0.93772,1.54457,1.37188,0.008251,0.008251,0.008251
55,1594.5,0.71298,0.74555,1.14844,0.61677,0.64513,0.64375,0.54433,0.84657,1.17368,1.22467,0.008218,0.008218,0.008218
56,1623.41,0.71593,0.74947,1.15384,0.72544,0.58114,0.61681,0.53141,0.85861,1.40325,1.27027,0.008185,0.008185,0.008185
57,1652.26,0.70725,0.7394,1.14244,0.60529,0.59601,0.60917,0.5254,0.88468,1.41448,1.28291,0.008152,0.008152,0.008152
58,1681.12,0.70392,0.73408,1.14096,0.63975,0.58088,0.60786,0.52678,0.84179,1.27984,1.26338,0.008119,0.008119,0.008119
59,1710.03,0.70126,0.7304,1.13888,0.73082,0.61823,0.63751,0.55174,0.86591,1.42275,1.28858,0.008086,0.008086,0.008086
60,1738.94,0.70091,0.73289,1.13768,0.60709,0.61618,0.60832,0.52563,0.82818,1.37661,1.26391,0.008053,0.008053,0.008053
61,1767.82,0.69703,0.71742,1.13594,0.6963,0.57051,0.62904,0.53415,0.81256,1.25456,1.21923,0.00802,0.00802,0.00802
62,1796.74,0.68726,0.71066,1.1314,0.76805,0.56217,0.60052,0.5216,0.83078,1.34647,1.2408,0.007987,0.007987,0.007987
63,1825.65,0.69209,0.71772,1.13647,0.66245,0.60681,0.63384,0.54424,0.82126,1.29655,1.22909,0.007954,0.007954,0.007954
64,1854.54,0.69084,0.71546,1.13553,0.65486,0.61021,0.65223,0.55451,0.81292,1.25052,1.22554,0.007921,0.007921,0.007921
65,1883.5,0.68065,0.69744,1.12371,0.70801,0.60444,0.6326,0.55165,0.79633,1.26567,1.21535,0.007888,0.007888,0.007888
66,1912.35,0.68039,0.70497,1.12932,0.64941,0.61503,0.63652,0.54637,0.8022,1.30042,1.21632,0.007855,0.007855,0.007855
67,1941.28,0.66774,0.67989,1.11583,0.69257,0.59649,0.59942,0.52617,0.79388,1.34204,1.21583,0.007822,0.007822,0.007822
68,1970.15,0.67225,0.68501,1.11934,0.71888,0.60789,0.62838,0.53833,0.82566,1.28179,1.24205,0.007789,0.007789,0.007789
69,1998.99,0.66508,0.68295,1.1163,0.7451,0.54861,0.61499,0.53839,0.85271,1.42407,1.28112,0.007756,0.007756,0.007756
70,2027.85,0.66635,0.68127,1.11731,0.69915,0.54943,0.63769,0.55067,0.82313,1.27299,1.25682,0.007723,0.007723,0.007723
71,2056.71,0.66085,0.6745,1.11445,0.68196,0.59233,0.60394,0.51309,0.85822,1.42556,1.29052,0.00769,0.00769,0.00769
72,2085.6,0.65457,0.6658,1.10618,0.67565,0.58971,0.63016,0.5508,0.81535,1.2307,1.25266,0.007657,0.007657,0.007657
73,2114.48,0.66335,0.6693,1.11288,0.71391,0.58259,0.61583,0.52625,0.89383,1.35519,1.30923,0.007624,0.007624,0.007624
74,2143.29,0.65408,0.65725,1.10412,0.70746,0.58191,0.61703,0.52411,0.85057,1.41506,1.24745,0.007591,0.007591,0.007591
75,2172.17,0.65347,0.6599,1.10568,0.66816,0.60275,0.63316,0.53253,0.84004,1.27453,1.25336,0.007558,0.007558,0.007558
76,2201.03,0.6609,0.67251,1.11469,0.77923,0.59746,0.65006,0.54777,0.87219,1.2084,1.28185,0.007525,0.007525,0.007525
77,2229.88,0.64715,0.64542,1.09816,0.72439,0.59139,0.6457,0.5408,0.88081,1.24904,1.30911,0.007492,0.007492,0.007492
78,2258.81,0.65542,0.6633,1.10884,0.70031,0.58006,0.6196,0.53427,0.85232,1.31815,1.30074,0.007459,0.007459,0.007459
79,2287.62,0.64766,0.65522,1.10467,0.7357,0.57987,0.62954,0.53054,0.8475,1.2878,1.2789,0.007426,0.007426,0.007426
80,2316.51,0.64285,0.64829,1.09966,0.68555,0.58763,0.61981,0.5235,0.85868,1.33656,1.28405,0.007393,0.007393,0.007393
81,2345.37,0.63816,0.64334,1.09691,0.66491,0.59094,0.60872,0.52448,0.84987,1.34914,1.28578,0.00736,0.00736,0.00736
82,2374.27,0.63936,0.64685,1.10022,0.68705,0.60346,0.62117,0.52722,0.86301,1.36536,1.29903,0.007327,0.007327,0.007327
83,2403.18,0.63364,0.63444,1.09234,0.72747,0.57184,0.61579,0.53768,0.88229,1.36133,1.34811,0.007294,0.007294,0.007294
84,2432.06,0.63037,0.62606,1.08818,0.75634,0.57779,0.62754,0.54996,0.82293,1.33053,1.26013,0.007261,0.007261,0.007261
85,2460.99,0.63312,0.63216,1.09273,0.69676,0.61311,0.63164,0.54781,0.84395,1.24476,1.25936,0.007228,0.007228,0.007228
86,2489.95,0.62656,0.62135,1.08805,0.76072,0.56838,0.63015,0.54083,0.86835,1.41125,1.28658,0.007195,0.007195,0.007195
87,2518.86,0.62362,0.6202,1.08405,0.66358,0.66197,0.64383,0.55638,0.82229,1.35881,1.25088,0.007162,0.007162,0.007162
88,2547.73,0.62546,0.62632,1.08933,0.72392,0.58011,0.64793,0.55277,0.85257,1.26904,1.29682,0.007129,0.007129,0.007129
89,2576.71,0.62768,0.626,1.08673,0.74491,0.58207,0.63737,0.53921,0.85905,1.41252,1.30973,0.007096,0.007096,0.007096
90,2605.61,0.62298,0.61952,1.085,0.75883,0.58085,0.63576,0.54635,0.81495,1.35587,1.28285,0.007063,0.007063,0.007063
91,2634.46,0.62755,0.62522,1.08994,0.72489,0.55769,0.60768,0.52696,0.8403,1.49393,1.31068,0.00703,0.00703,0.00703
92,2663.27,0.61619,0.6059,1.07774,0.73028,0.62471,0.66615,0.56113,0.82829,1.29348,1.27439,0.006997,0.006997,0.006997
93,2692.27,0.61511,0.60736,1.08068,0.71222,0.63324,0.67459,0.5632,0.79399,1.23734,1.23436,0.006964,0.006964,0.006964
94,2721.16,0.60671,0.59856,1.07343,0.65808,0.61552,0.63744,0.556,0.80908,1.2616,1.24396,0.006931,0.006931,0.006931
95,2750.04,0.61111,0.60952,1.07711,0.74684,0.55646,0.63349,0.54239,0.83136,1.25001,1.27199,0.006898,0.006898,0.006898
