epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,109.135,0.50861,0.30183,0.9418,0.69655,0.63659,0.6412,0.53606,0.92606,1.69167,1.35485,0.00033032,0.00033032,0.00033032
43,111.706,0.51041,0.30242,0.94593,0.63585,0.67227,0.642,0.52805,0.94282,1.68718,1.35163,0.000324815,0.000324815,0.000324815
44,114.269,0.49453,0.29899,0.9347,0.65945,0.63734,0.63161,0.52167,0.94444,1.67661,1.38344,0.000319311,0.000319311,0.000319311
45,116.804,0.48901,0.29385,0.93975,0.6243,0.6786,0.64244,0.52231,0.96722,1.68164,1.41773,0.000313806,0.000313806,0.000313806
46,119.304,0.50246,0.30182,0.93724,0.63243,0.66031,0.63953,0.52053,0.96088,1.66608,1.41392,0.000308302,0.000308302,0.000308302
47,121.84,0.49938,0.30258,0.94441,0.63814,0.66845,0.63184,0.516,0.94533,1.71579,1.40641,0.000302798,0.000302798,0.000302798
48,124.378,0.48629,0.2973,0.9309,0.62492,0.65559,0.62246,0.51414,0.91756,1.77937,1.36616,0.000297293,0.000297293,0.000297293
49,126.902,0.48065,0.29002,0.92158,0.68673,0.61399,0.62333,0.51836,0.90751,1.62458,1.38601,0.000291789,0.000291789,0.000291789
50,129.422,0.47758,0.2864,0.92147,0.72908,0.60053,0.62778,0.52401,0.93457,1.73733,1.37358,0.000286284,0.000286284,0.000286284
51,132.018,0.46426,0.28217,0.91768,0.71687,0.58432,0.6277,0.52348,0.92619,1.74126,1.37131,0.00028078,0.00028078,0.00028078
52,134.607,0.47173,0.28616,0.92053,0.70463,0.60875,0.64993,0.53893,0.9112,1.67316,1.33871,0.000275276,0.000275276,0.000275276
53,137.247,0.49063,0.29058,0.92656,0.69069,0.62538,0.64168,0.53543,0.91481,1.65812,1.3493,0.000269771,0.000269771,0.000269771
54,139.863,0.47332,0.28771,0.92302,0.647,0.63653,0.638,0.52535,0.93511,1.7415,1.36602,0.000264267,0.000264267,0.000264267
55,142.478,0.47517,0.2961,0.92045,0.68499,0.62478,0.63368,0.52283,0.91724,1.73062,1.35165,0.000258762,0.000258762,0.000258762
56,145.115,0.46802,0.28478,0.91859,0.7347,0.57878,0.6267,0.50983,0.9316,1.7336,1.37701,0.000253258,0.000253258,0.000253258
57,147.707,0.46816,0.27902,0.92084,0.73285,0.5863,0.63578,0.52502,0.92839,1.66623,1.34853,0.000247754,0.000247754,0.000247754
58,150.307,0.46334,0.28303,0.91096,0.65194,0.66479,0.64262,0.52848,0.92933,1.64427,1.36873,0.000242249,0.000242249,0.000242249
59,152.909,0.45516,0.27666,0.91143,0.65294,0.65463,0.63591,0.53508,0.91038,1.69279,1.35432,0.000236745,0.000236745,0.000236745
60,155.494,0.46103,0.27743,0.91519,0.63765,0.63757,0.6358,0.52604,0.94237,1.67187,1.36187,0.00023124,0.00023124,0.00023124
61,158.084,0.45453,0.26719,0.90033,0.62681,0.64555,0.63286,0.53015,0.92725,1.7456,1.3588,0.000225736,0.000225736,0.000225736
62,160.685,0.45753,0.27806,0.90883,0.6519,0.60789,0.63929,0.53253,0.92298,1.72009,1.36513,0.000220232,0.000220232,0.000220232
63,163.245,0.45744,0.27063,0.91427,0.689,0.5995,0.6285,0.51251,0.96868,1.74485,1.39948,0.000214727,0.000214727,0.000214727
64,165.848,0.45572,0.27361,0.91961,0.67261,0.6004,0.62698,0.52645,0.91159,1.73571,1.38475,0.000209223,0.000209223,0.000209223
65,168.438,0.43769,0.26598,0.89375,0.59273,0.66575,0.63364,0.5276,0.93195,1.77948,1.41291,0.000203718,0.000203718,0.000203718
66,171.045,0.4611,0.27493,0.91758,0.63091,0.61397,0.62544,0.5163,0.96241,1.82799,1.44334,0.000198214,0.000198214,0.000198214
67,173.644,0.44704,0.2699,0.90357,0.67958,0.5836,0.61538,0.51096,0.93938,1.77473,1.40334,0.00019271,0.00019271,0.00019271
68,176.238,0.43768,0.26546,0.89797,0.70666,0.59187,0.62416,0.52126,0.93464,1.77168,1.38984,0.000187205,0.000187205,0.000187205
69,178.826,0.44072,0.26769,0.89631,0.7202,0.58876,0.62703,0.5248,0.92344,1.72194,1.37442,0.000181701,0.000181701,0.000181701
70,181.571,0.44606,0.26857,0.89768,0.73098,0.59585,0.63227,0.52482,0.93084,1.68059,1.40969,0.000176196,0.000176196,0.000176196
71,184.162,0.43085,0.2628,0.89203,0.71079,0.59271,0.61865,0.51432,0.92691,1.73321,1.41702,0.000170692,0.000170692,0.000170692
72,186.788,0.44507,0.26662,0.90282,0.71327,0.58819,0.62139,0.51467,0.92174,1.73041,1.4181,0.000165188,0.000165188,0.000165188
73,189.427,0.4323,0.25728,0.89753,0.73211,0.57662,0.61848,0.50984,0.93573,1.74955,1.42603,0.000159683,0.000159683,0.000159683
74,192.027,0.42256,0.26201,0.8866,0.70985,0.58023,0.61787,0.51016,0.92654,1.72208,1.41448,0.000154179,0.000154179,0.000154179
75,194.621,0.41,0.24741,0.88959,0.70242,0.59447,0.61809,0.51534,0.91484,1.67724,1.41188,0.000148674,0.000148674,0.000148674
76,197.174,0.4293,0.25836,0.89064,0.71183,0.57891,0.62369,0.52024,0.9089,1.64539,1.41508,0.00014317,0.00014317,0.00014317
77,199.823,0.42201,0.25452,0.89065,0.69873,0.58663,0.62329,0.51675,0.91044,1.65871,1.41896,0.000137666,0.000137666,0.000137666
78,202.398,0.41415,0.2524,0.88097,0.69682,0.58871,0.62427,0.51609,0.92444,1.64372,1.40941,0.000132161,0.000132161,0.000132161
79,204.985,0.42643,0.25187,0.88449,0.64408,0.63431,0.62757,0.51788,0.91729,1.64915,1.3824,0.000126657,0.000126657,0.000126657
80,207.547,0.41539,0.25563,0.88919,0.63456,0.64604,0.6351,0.52616,0.90749,1.6746,1.37301,0.000121152,0.000121152,0.000121152
81,210.048,0.42387,0.2533,0.8942,0.63636,0.64434,0.63566,0.52473,0.94051,1.65873,1.40345,0.000115648,0.000115648,0.000115648
82,212.6,0.40559,0.24494,0.87802,0.60811,0.6591,0.63037,0.52273,0.92103,1.64862,1.38313,0.000110144,0.000110144,0.000110144
83,215.123,0.4048,0.24171,0.87848,0.60307,0.67256,0.6279,0.52061,0.92648,1.64863,1.38331,0.000104639,0.000104639,0.000104639
84,217.679,0.41065,0.24597,0.87643,0.62379,0.67158,0.62761,0.52192,0.91704,1.67439,1.38325,9.91348e-05,9.91348e-05,9.91348e-05
85,220.247,0.41353,0.24792,0.89153,0.62502,0.66399,0.62492,0.51903,0.92909,1.6853,1.40339,9.36304e-05,9.36304e-05,9.36304e-05
86,222.785,0.41422,0.25025,0.88636,0.61945,0.65766,0.62872,0.52431,0.92226,1.66415,1.39115,8.8126e-05,8.8126e-05,8.8126e-05
87,225.29,0.42476,0.25283,0.89535,0.61924,0.65875,0.6244,0.52212,0.9198,1.6866,1.38676,8.26216e-05,8.26216e-05,8.26216e-05
88,227.818,0.4124,0.24489,0.88076,0.62249,0.65556,0.62578,0.51991,0.9383,1.70593,1.3988,7.71172e-05,7.71172e-05,7.71172e-05
89,230.345,0.41804,0.24899,0.88861,0.61992,0.64757,0.62709,0.52814,0.90468,1.67224,1.37201,7.16128e-05,7.16128e-05,7.16128e-05
90,232.903,0.42035,0.25472,0.88239,0.6251,0.65002,0.6271,0.52473,0.94419,1.70887,1.40378,6.61084e-05,6.61084e-05,6.61084e-05
91,262.791,0.39867,0.24811,0.87497,0.62545,0.64836,0.62488,0.52462,0.91737,1.6862,1.37866,6.0604e-05,6.0604e-05,6.0604e-05
92,265.458,0.40817,0.24836,0.88338,0.62705,0.64751,0.62274,0.52072,0.9244,1.68869,1.38371,5.50996e-05,5.50996e-05,5.50996e-05
93,268.061,0.3973,0.2411,0.87429,0.6251,0.65013,0.62886,0.52335,0.93231,1.7048,1.39406,4.95952e-05,4.95952e-05,4.95952e-05
94,270.652,0.39792,0.23986,0.87997,0.61512,0.65375,0.62955,0.52634,0.92093,1.70235,1.38696,4.40908e-05,4.40908e-05,4.40908e-05
95,273.209,0.40092,0.24724,0.88254,0.61138,0.66167,0.6311,0.52811,0.93007,1.70194,1.39708,3.85864e-05,3.85864e-05,3.85864e-05
96,275.793,0.40967,0.24721,0.88976,0.60917,0.66167,0.63055,0.52838,0.9262,1.71715,1.39596,3.3082e-05,3.3082e-05,3.3082e-05
97,278.386,0.40162,0.24438,0.88136,0.61062,0.66167,0.63216,0.531,0.92971,1.71671,1.39438,2.75776e-05,2.75776e-05,2.75776e-05
98,280.927,0.39551,0.24438,0.87981,0.61356,0.66167,0.63314,0.5293,0.92351,1.70251,1.38878,2.20732e-05,2.20732e-05,2.20732e-05
99,283.472,0.39563,0.24153,0.87493,0.61594,0.66167,0.6317,0.52956,0.91532,1.69084,1.37929,1.65688e-05,1.65688e-05,1.65688e-05
100,286.036,0.42025,0.24786,0.89744,0.61538,0.66167,0.63124,0.52891,0.91582,1.70841,1.38043,1.10644e-05,1.10644e-05,1.10644e-05
