epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,172.274,0.37807,0.2568,0.85917,0.68219,0.59095,0.66829,0.57651,0.76664,1.65928,1.251,0.00033032,0.00033032,0.00033032
43,176.322,0.37025,0.24892,0.85914,0.62634,0.63635,0.65169,0.55693,0.78201,1.66211,1.26468,0.000324815,0.000324815,0.000324815
44,180.377,0.36113,0.23951,0.85708,0.64368,0.65634,0.67848,0.58205,0.7712,1.59572,1.24311,0.000319311,0.000319311,0.000319311
45,184.382,0.35818,0.24246,0.86125,0.67683,0.64645,0.6654,0.58278,0.75968,1.5935,1.24491,0.000313806,0.000313806,0.000313806
46,188.357,0.3736,0.2519,0.85818,0.64744,0.64251,0.6808,0.59861,0.77136,1.63397,1.24061,0.000308302,0.000308302,0.000308302
47,192.365,0.35848,0.24666,0.85307,0.64684,0.64149,0.65803,0.57965,0.7377,1.64995,1.22517,0.000302798,0.000302798,0.000302798
48,196.376,0.3591,0.23995,0.84969,0.63129,0.65553,0.67739,0.59608,0.74419,1.61569,1.22835,0.000297293,0.000297293,0.000297293
49,200.366,0.35944,0.24838,0.85026,0.74701,0.61381,0.66671,0.58521,0.73457,1.64657,1.21931,0.000291789,0.000291789,0.000291789
50,204.385,0.35409,0.23905,0.84701,0.70941,0.60653,0.66096,0.57818,0.72652,1.68754,1.22107,0.000286284,0.000286284,0.000286284
51,208.431,0.34897,0.24037,0.84957,0.69095,0.61424,0.66551,0.58415,0.71196,1.66191,1.19753,0.00028078,0.00028078,0.00028078
52,212.481,0.34441,0.23989,0.84698,0.68345,0.6063,0.65546,0.5763,0.72655,1.7074,1.203,0.000275276,0.000275276,0.000275276
53,216.496,0.35782,0.24249,0.85109,0.68855,0.64051,0.66261,0.5757,0.74217,1.66818,1.23208,0.000269771,0.000269771,0.000269771
54,220.495,0.34083,0.23121,0.84261,0.65382,0.63927,0.67562,0.58974,0.73915,1.54099,1.23941,0.000264267,0.000264267,0.000264267
55,224.486,0.33698,0.23127,0.84187,0.61453,0.67904,0.6872,0.59923,0.74278,1.61631,1.23824,0.000258762,0.000258762,0.000258762
56,228.551,0.33813,0.23223,0.83868,0.62179,0.71477,0.67335,0.585,0.74284,1.57239,1.2286,0.000253258,0.000253258,0.000253258
57,232.559,0.33791,0.23116,0.84862,0.6244,0.64526,0.66928,0.58296,0.73598,1.55777,1.23763,0.000247754,0.000247754,0.000247754
58,236.486,0.33995,0.23482,0.84055,0.715,0.60437,0.66284,0.56984,0.79256,1.67052,1.2987,0.000242249,0.000242249,0.000242249
59,240.397,0.32295,0.22571,0.84765,0.69711,0.63038,0.65549,0.56519,0.78399,1.61305,1.30135,0.000236745,0.000236745,0.000236745
60,244.292,0.32725,0.22411,0.84271,0.71011,0.6169,0.65671,0.56936,0.76902,1.6844,1.29192,0.00023124,0.00023124,0.00023124
61,248.21,0.32549,0.2214,0.83098,0.72322,0.63355,0.67399,0.58503,0.7531,1.70833,1.27455,0.000225736,0.000225736,0.000225736
62,252.231,0.32661,0.22513,0.83935,0.73127,0.62228,0.67805,0.58616,0.73641,1.71278,1.23706,0.000220232,0.000220232,0.000220232
63,256.218,0.32098,0.22329,0.83898,0.69486,0.62481,0.66439,0.57975,0.73756,1.69646,1.23814,0.000214727,0.000214727,0.000214727
64,260.211,0.32401,0.21673,0.84236,0.68759,0.63404,0.68043,0.58931,0.73284,1.74599,1.24399,0.000209223,0.000209223,0.000209223
65,264.224,0.30461,0.21178,0.82985,0.72389,0.61907,0.65725,0.57481,0.74813,1.79594,1.27629,0.000203718,0.000203718,0.000203718
66,268.21,0.31292,0.21455,0.83167,0.73848,0.62737,0.65984,0.5757,0.75934,1.76894,1.27825,0.000198214,0.000198214,0.000198214
67,272.22,0.31626,0.21652,0.83406,0.71422,0.62351,0.65281,0.56936,0.74233,1.74525,1.24702,0.00019271,0.00019271,0.00019271
68,276.233,0.31316,0.21205,0.82642,0.72092,0.62452,0.66213,0.57074,0.73361,1.74488,1.23945,0.000187205,0.000187205,0.000187205
69,280.216,0.30475,0.20978,0.82928,0.71779,0.61859,0.67422,0.58695,0.73458,1.73122,1.24982,0.000181701,0.000181701,0.000181701
70,284.175,0.31664,0.21364,0.82367,0.71259,0.6015,0.66741,0.58264,0.73645,1.71307,1.24261,0.000176196,0.000176196,0.000176196
71,288.189,0.30353,0.21163,0.82964,0.67423,0.63159,0.66883,0.5863,0.7306,1.66118,1.22433,0.000170692,0.000170692,0.000170692
72,292.196,0.30168,0.21354,0.8251,0.67057,0.62543,0.66857,0.58604,0.74923,1.72591,1.24692,0.000165188,0.000165188,0.000165188
73,296.205,0.29547,0.20339,0.81922,0.71052,0.62356,0.66733,0.58196,0.75638,1.74635,1.24438,0.000159683,0.000159683,0.000159683
74,300.221,0.29161,0.20186,0.81984,0.69657,0.63247,0.67766,0.59059,0.75136,1.75085,1.2495,0.000154179,0.000154179,0.000154179
75,304.227,0.28204,0.1972,0.81829,0.71362,0.63132,0.66175,0.58938,0.74577,1.71146,1.27069,0.000148674,0.000148674,0.000148674
76,308.225,0.29242,0.2021,0.81581,0.70837,0.63381,0.66188,0.59253,0.74364,1.71679,1.2716,0.00014317,0.00014317,0.00014317
77,312.236,0.28726,0.19981,0.81642,0.69,0.62967,0.66794,0.59047,0.75064,1.65055,1.25972,0.000137666,0.000137666,0.000137666
78,316.239,0.28716,0.19763,0.81183,0.69603,0.6387,0.66725,0.59365,0.74822,1.65378,1.24231,0.000132161,0.000132161,0.000132161
79,320.188,0.28461,0.1966,0.81243,0.70448,0.63626,0.66159,0.58223,0.75495,1.69388,1.25,0.000126657,0.000126657,0.000126657
80,324.199,0.29134,0.20663,0.82302,0.7098,0.63528,0.67153,0.58902,0.73685,1.66082,1.23729,0.000121152,0.000121152,0.000121152
81,328.178,0.28383,0.19506,0.81902,0.70076,0.63531,0.65648,0.57602,0.74623,1.70047,1.24811,0.000115648,0.000115648,0.000115648
82,332.136,0.26796,0.18946,0.81307,0.74937,0.59724,0.66803,0.58849,0.74726,1.68548,1.25799,0.000110144,0.000110144,0.000110144
83,336.133,0.2736,0.18875,0.8128,0.68121,0.63736,0.66867,0.58385,0.74085,1.71946,1.24981,0.000104639,0.000104639,0.000104639
84,340.131,0.27505,0.19197,0.81372,0.69873,0.64321,0.68187,0.59358,0.7464,1.71207,1.24371,9.91348e-05,9.91348e-05,9.91348e-05
85,344.138,0.26793,0.18916,0.81416,0.69673,0.63991,0.66721,0.58738,0.73247,1.68755,1.23528,9.36304e-05,9.36304e-05,9.36304e-05
86,348.155,0.27048,0.1891,0.81459,0.73769,0.60333,0.66382,0.58128,0.73205,1.67965,1.23578,8.8126e-05,8.8126e-05,8.8126e-05
87,352.16,0.26995,0.19049,0.81478,0.72724,0.60103,0.67361,0.59024,0.72234,1.69071,1.22429,8.26216e-05,8.26216e-05,8.26216e-05
88,356.168,0.25879,0.18277,0.80643,0.68825,0.63136,0.68607,0.60293,0.71486,1.70822,1.22436,7.71172e-05,7.71172e-05,7.71172e-05
89,360.183,0.26638,0.18481,0.80717,0.67525,0.6381,0.68419,0.59712,0.72275,1.70215,1.23208,7.16128e-05,7.16128e-05,7.16128e-05
90,364.152,0.26543,0.1878,0.81451,0.66208,0.6407,0.68377,0.60239,0.71693,1.70115,1.23109,6.61084e-05,6.61084e-05,6.61084e-05
91,387.607,0.25611,0.18774,0.81162,0.69968,0.61992,0.69105,0.60452,0.72256,1.70462,1.22674,6.0604e-05,6.0604e-05,6.0604e-05
92,391.621,0.26215,0.18649,0.8107,0.70492,0.60651,0.69671,0.60733,0.72568,1.72657,1.23898,5.50996e-05,5.50996e-05,5.50996e-05
93,395.637,0.25332,0.18186,0.80825,0.70442,0.63297,0.69585,0.60522,0.71806,1.70955,1.23716,4.95952e-05,4.95952e-05,4.95952e-05
94,399.616,0.24996,0.18065,0.8044,0.71097,0.62936,0.69094,0.61107,0.71472,1.71914,1.2357,4.40908e-05,4.40908e-05,4.40908e-05
95,403.659,0.25469,0.18311,0.80512,0.70086,0.63088,0.69189,0.60975,0.71168,1.71091,1.23335,3.85864e-05,3.85864e-05,3.85864e-05
96,407.671,0.25391,0.18802,0.81003,0.75231,0.62072,0.69304,0.60831,0.71178,1.71069,1.23523,3.3082e-05,3.3082e-05,3.3082e-05
97,411.657,0.25227,0.17827,0.8095,0.69617,0.62883,0.68049,0.59861,0.70771,1.70748,1.23016,2.75776e-05,2.75776e-05,2.75776e-05
98,415.64,0.24982,0.18603,0.80929,0.6982,0.63083,0.67784,0.59978,0.70601,1.69206,1.22697,2.20732e-05,2.20732e-05,2.20732e-05
99,419.644,0.24961,0.18005,0.80635,0.70111,0.63343,0.67801,0.60202,0.71067,1.69226,1.23304,1.65688e-05,1.65688e-05,1.65688e-05
100,423.662,0.26047,0.18739,0.81352,0.70146,0.63262,0.67538,0.59783,0.7086,1.68402,1.23083,1.10644e-05,1.10644e-05,1.10644e-05
